Parent,Child
Total,A
Total,B
Total,C
Total,D
Total,E
Total,F
Total,G
Total,H
Total,I
Total,J
Total,K
Total,L
Total,M
Total,N
Total,O
Total,P
Total,Q
Total,R
Total,S
A,A01
A,A02
A,A03
A,A04
A,A05
B,B06
B,B07
B,B08
B,B09
B,B10
C,C11
C,C12
C,C13
C,C14
C,C15
C,C16
C,C17
C,C18
C,C19
C,C20
C,C21
C,C22
C,C23
C,C24
C,C25
D,D26
D,D27
D,D28
D,D29
E,E30
E,E31
E,E32
F,F33
F,F34
F,F35
F,F36
F,F37
F,F38
G,G39
G,G40
G,G41
G,G42
G,G43
H,H44
H,H45
I,I46
I,I47
I,I48
I,I49
I,I50
I,I51
I,I52
I,I53
J,J54
J,J55
J,J56
J,J57
J,J58
J,J59
J,J60
K,K62
K,K63
K,K64
L,L66
L,L67
M,M69
M,M70
N,N72
N,N73
O,O75
O,O76
O,O77
P,P80
P,P81
P,P82
Q,Q84
Q,Q85
Q,Q86
Q,Q87
R,R89
R,R90
R,R91
R,R92
S,S94
S,S95
S,S96
A01,A011
A01,A012
A01,A013
A01,A014
A01,A015
A01,A016
A01,A017
A01,A018
A01,A019
A02,A020
A03,A030
A04,A041
A04,A042
A05,A051
A05,A052
B06,B060
B07,B070
B08,B080
B09,B091
B09,B099
B10,B101
B10,B109
C11,C111
C11,C112
C11,C113
C11,C114
C11,C115
C11,C116
C11,C117
C11,C118
C11,C119
C12,C121
C12,C122
C13,C131
C13,C132
C13,C133
C13,C134
C13,C135
C14,C141
C14,C149
C15,C151
C15,C152
C16,C161
C16,C162
C17,C170
C18,C181
C18,C182
C18,C183
C18,C184
C18,C185
C18,C189
C19,C191
C19,C192
C20,C201
C20,C202
C20,C203
C20,C209
C21,C211
C21,C212
C21,C213
C21,C214
C22,C221
C22,C222
C22,C223
C22,C224
C22,C229
C23,C231
C23,C239
C24,C241
C24,C242
C24,C243
C24,C244
C24,C245
C24,C246
C24,C249
C25,C251
C25,C259
D26,D261
D26,D262
D26,D263
D26,D264
D27,D270
D28,D281
D29,D291
D29,D292
E30,E301
E30,E302
E31,E310
E32,E321
E32,E322
E32,E323
E32,E324
E32,E329
F33,F331
F33,F332
F33,F333
F34,F341
F34,F349
F35,F350
F36,F360
F37,F371
F37,F372
F37,F373
F38,F380
G39,G391
G39,G392
G40,G400
G41,G411
G41,G412
G42,G421
G42,G422
G42,G423
G42,G424
G42,G425
G42,G426
G42,G427
G43,G431
G43,G432
H44,H440
H45,H451
H45,H452
H45,H453
I46,I461
I46,I462
I47,I471
I47,I472
I48,I481
I48,I482
I49,I490
I50,I501
I50,I502
I51,I510
I52,I521
I52,I522
I52,I529
I53,I530
J54,J541
J54,J542
J55,J551
J55,J552
J56,J561
J56,J562
J57,J570
J58,J580
J59,J591
J59,J592
J60,J601
J60,J602
K62,K621
K62,K622
K62,K623
K62,K624
K63,K631
K63,K632
K63,K633
K64,K641
K64,K642
L66,L661
L66,L662
L66,L663
L66,L664
L67,L671
L67,L672
M69,M691
M69,M692
M69,M693
M69,M694
M69,M695
M69,M696
M69,M697
M69,M699
M70,M700
N72,N721
N72,N722
N72,N729
N73,N731
N73,N732
O75,O751
O75,O752
O75,O753
O75,O754
O75,O755
O76,O760
O77,O771
O77,O772
P80,P801
P80,P802
P81,P810
P82,P821
P82,P822
Q84,Q840
Q85,Q851
Q85,Q852
Q85,Q853
Q85,Q859
Q86,Q860
Q87,Q871
Q87,Q879
R89,R891
R89,R892
R90,R900
R91,R911
R91,R912
R91,R913
R92,R920
S94,S941
S94,S942
S94,S949
S95,S951
S95,S952
S95,S953
S95,S954
S95,S955
S96,S960
